,_id,title,roomName,gender,roomType,py,deposit,rentFee,region,brandType,roomOption,url,imgUrl
47,65dd9f79d872d6f0c7de31ae,월세 500/75,월세 500/75,0,1,27.56,5000000,750000,서초동,0,벽걸이형 침대 책상 옷장 쇼파 신발장 냉장고 세탁기 샤워부스 비데 싱크대 가스레인지 인덕션 전자레인지 TV 붙박이장 화재경보기 경비원 비디오폰 인터폰 카드키 CCTV 사설경비 현관보안 방범창,https://www.dabangapp.com/room/65dc0858492f3d40e3de22d6,https://d1774jszgerdmk.cloudfront.net/1024/uCtHEMbF1I79lfPgIhws5
48,65dd9f86d872d6f0c7de31af,월세 130/130,월세 130/130,0,1,23.06,1300000,1300000,서초동,0,천장형 침대 책상 옷장 쇼파 신발장 냉장고 세탁기 건조기 샤워부스 싱크대 가스레인지 인덕션 전자레인지 TV 붙박이장 화재경보기 경비원 비디오폰 인터폰 카드키 CCTV 현관보안,https://www.dabangapp.com/room/65cb2c34f986032e17862eb8,https://d1774jszgerdmk.cloudfront.net/1024/uCtHEMbF1I79lfPgIhws5
49,65dd9f8ad872d6f0c7de31b0,월세 130/130,월세 130/130,0,1,34.0,1300000,1300000,서초동,0,벽걸이형 침대 책상 옷장 식탁 쇼파 신발장 냉장고 세탁기 샤워부스 싱크대 가스레인지 인덕션 전자레인지 TV 붙박이장 화재경보기 경비원 비디오폰 인터폰 카드키 CCTV 사설경비 현관보안,https://www.dabangapp.com/room/65cb2c19d6a91e27f0d23761,https://d1774jszgerdmk.cloudfront.net/1024/uCtHEMbF1I79lfPgIhws5
50,65dd9f8ed872d6f0c7de31b1,월세 1000/90,월세 1000/90,0,1,32.6,10000000,900000,서초동,0,벽걸이형 옷장 신발장 냉장고 세탁기 샤워부스 싱크대 가스레인지 화재경보기 경비원 비디오폰 인터폰 CCTV 현관보안,https://www.dabangapp.com/room/65dc14504e58853e7f8786d9,https://d1774jszgerdmk.cloudfront.net/1024/uCtHEMbF1I79lfPgIhws5
51,65dd9f93d872d6f0c7de31b2,월세 1000/90,월세 1000/90,0,1,32.6,10000000,900000,서초동,0,천장형 신발장 냉장고 세탁기 샤워부스 싱크대 인덕션 붙박이장 경비원 비디오폰 현관보안,https://www.dabangapp.com/room/65d6d7b28cf855071516ad59,https://d1774jszgerdmk.cloudfront.net/1024/uCtHEMbF1I79lfPgIhws5
52,65dd9f97d872d6f0c7de31b3,월세 4000/190,월세 4000/190,0,1,42.1,40000000,1900000,서초동,0,천장형 식탁 신발장 냉장고 세탁기 싱크대 인덕션 붙박이장 무인택배함 경비원 CCTV 현관보안,https://www.dabangapp.com/room/65d43fc845ba902e5d61b496,https://d1774jszgerdmk.cloudfront.net/1024/uCtHEMbF1I79lfPgIhws5
53,65dd9f9bd872d6f0c7de31b4,월세 2000/250,월세 2000/250,0,1,33.51,20000000,2500000,서초동,0,천장형 침대 신발장 냉장고 세탁기 건조기 샤워부스 비데 싱크대 인덕션 가스오븐 TV 화재경보기 베란다 무인택배함 경비원 비디오폰 인터폰 CCTV 현관보안,https://www.dabangapp.com/room/65dd7b42f986c45d1c91416b,https://d1774jszgerdmk.cloudfront.net/1024/uCtHEMbF1I79lfPgIhws5
54,65dd9f9fd872d6f0c7de31b5,월세 1억1000/12,월세 1억1000/12,0,0,19.36,110000000,120000,서초동,0,벽걸이형 신발장 냉장고 세탁기 가스레인지 CCTV 현관보안,https://www.dabangapp.com/room/65d40f405b3bed3210145004,https://d1774jszgerdmk.cloudfront.net/1024/uCtHEMbF1I79lfPgIhws5
55,65dd9fa4d872d6f0c7de31b6,월세 1억1000/12,월세 1억1000/12,0,1,19.36,110000000,120000,서초동,0,옷장 신발장 냉장고 세탁기 인덕션 경비원 비디오폰 인터폰 현관보안,https://www.dabangapp.com/room/65cd6b029dd9367054d2112d,https://d1774jszgerdmk.cloudfront.net/1024/uCtHEMbF1I79lfPgIhws5
56,65dd9fa8d872d6f0c7de31b7,월세 3000/140,월세 3000/140,0,1,29.3,30000000,1400000,서초동,0,벽걸이형 침대 옷장 신발장 냉장고 세탁기 싱크대 가스레인지 CCTV 현관보안,https://www.dabangapp.com/room/65d6a9fdf1d94627193f26f8,https://d1774jszgerdmk.cloudfront.net/1024/uCtHEMbF1I79lfPgIhws5
57,65dd9facd872d6f0c7de31b8,월세 200/140,월세 200/140,0,1,29.85,2000000,1400000,서초동,0,천장형 침대 책상 식탁 쇼파 신발장 냉장고 세탁기 샤워부스 싱크대 가스레인지 전자레인지 TV 붙박이장 경비원 CCTV 사설경비 현관보안,https://www.dabangapp.com/room/65d0618a1d71cf19bbc28ba5,https://d1774jszgerdmk.cloudfront.net/1024/uCtHEMbF1I79lfPgIhws5
59,65dd9fb5d872d6f0c7de31ba,월세 150/130,월세 150/130,0,1,33.75,1500000,1300000,서초동,0,벽걸이형 침대 책상 옷장 식탁 쇼파 신발장 냉장고 세탁기 건조기 샤워부스 싱크대 가스레인지 전자레인지 TV 붙박이장 화재경보기 경비원 비디오폰 인터폰 카드키 CCTV 사설경비 현관보안,https://www.dabangapp.com/room/65cb2cc18d26f02e170dbbfd,https://d1774jszgerdmk.cloudfront.net/1024/uCtHEMbF1I79lfPgIhws5
60,65dd9fb9d872d6f0c7de31bb,월세 150/130,월세 150/130,0,1,33.75,1500000,1300000,서초동,0,천장형 침대 책상 옷장 식탁 쇼파 신발장 냉장고 세탁기 샤워부스 욕조 비데 싱크대 가스레인지 전자레인지 가스오븐 TV 붙박이장 화재경보기 비디오폰 인터폰 카드키 CCTV 사설경비 현관보안 방범창,https://www.dabangapp.com/room/65c387f9bc659e7e5e1250eb,https://d1774jszgerdmk.cloudfront.net/1024/uCtHEMbF1I79lfPgIhws5
62,65dd9fc4d872d6f0c7de31bd,월세 115/115,월세 115/115,0,1,29.85,1150000,1150000,서초동,0,천장형 침대 책상 옷장 식탁 쇼파 신발장 냉장고 세탁기 샤워부스 비데 싱크대 가스레인지 전자레인지 TV 붙박이장 화재경보기 경비원 비디오폰 인터폰 카드키 CCTV 현관보안 방범창,https://www.dabangapp.com/room/65dc678253e8bc4780365884,https://d1774jszgerdmk.cloudfront.net/1024/uCtHEMbF1I79lfPgIhws5
63,65dd9fc8d872d6f0c7de31be,월세 1000/80,월세 1000/80,0,1,20.26,10000000,800000,서초동,0,벽걸이형 침대 책상 옷장 쇼파 신발장 냉장고 세탁기 샤워부스 비데 싱크대 가스레인지 인덕션 전자레인지 TV 붙박이장 화재경보기 경비원 비디오폰 인터폰 카드키 CCTV 사설경비 현관보안 방범창,https://www.dabangapp.com/room/65dc08981bf1967a08371e5a,https://d1774jszgerdmk.cloudfront.net/1024/uCtHEMbF1I79lfPgIhws5
64,65dd9fcdd872d6f0c7de31bf,월세 1000/80,월세 1000/80,0,1,20.26,10000000,800000,서초동,0,벽걸이형 침대 책상 옷장 쇼파 신발장 냉장고 세탁기 샤워부스 비데 싱크대 가스레인지 인덕션 전자레인지 TV 붙박이장 화재경보기 경비원 인터폰 카드키 CCTV,https://www.dabangapp.com/room/65d1a3b9f0849662baa4b25b,https://d1774jszgerdmk.cloudfront.net/1024/uCtHEMbF1I79lfPgIhws5
65,65dd9fd1d872d6f0c7de31c0,월세 150/130,월세 150/130,0,0,31.98,1500000,1300000,서초동,0,침대 책상 옷장 신발장 냉장고 세탁기 가스레인지 전자레인지 TV CCTV 현관보안,https://www.dabangapp.com/room/65d6faac87efdf2122a0f7f9,https://d1774jszgerdmk.cloudfront.net/1024/uCtHEMbF1I79lfPgIhws5
