,Unnamed: 0,_id,title,roomName,gender,roomType,py,deposit,rentFee,region,brandType,roomOption,url,imgUrl,station,station_region
49,49,65d83e15586d871d4e26c506,165호점,Room B,2,0,11.5,1000000,520000,동대입구역,0,WIFI 에어컨 세탁기 냉장고 wifi 정수기 전자렌지 밥솥 가스렌지 식탁 빨래건조대 책상 의자 수납함 침대 옷장,https://www.woozoo.kr/houses/165,https://dgdr.co.kr/upload/jijum/238342658_Gf6XysaH_20210923034736.jpg,동대입구,장충동2가
50,50,65d83e17586d871d4e26c507,165호점,Room C,2,1,14.5,1000000,380000,동대입구역,0,WIFI 에어컨 세탁기 냉장고 wifi 정수기 전자렌지 밥솥 가스렌지 식탁 빨래건조대 책상 의자 수납함 침대 옷장,https://www.woozoo.kr/houses/165,https://dgdr.co.kr/upload/jijum/238342658_Gf6XysaH_20210923034736.jpg,동대입구,장충동2가
51,51,65d83e22586d871d4e26c508,171호점,Room A,1,1,13.0,1000000,380000,동대입구역,0,WIFI 에어컨 세탁기 냉장고 wifi 정수기 전자렌지 밥솥 가스렌지 식탁 빨래건조대 책상 의자 수납함 침대 옷장,https://www.woozoo.kr/houses/171,https://dgdr.co.kr/upload/jijum/238342658_Gf6XysaH_20210923034736.jpg,동대입구,장충동2가
52,52,65d83e24586d871d4e26c509,171호점,Room B,1,0,7.0,1000000,520000,동대입구역,0,WIFI 에어컨 세탁기 냉장고 wifi 정수기 전자렌지 밥솥 가스렌지 식탁 빨래건조대 책상 의자 수납함 침대 옷장,https://www.woozoo.kr/houses/171,https://dgdr.co.kr/upload/jijum/238342658_Gf6XysaH_20210923034736.jpg,동대입구,장충동2가
53,53,65d83e26586d871d4e26c50a,171호점,Room C,1,0,7.0,1000000,520000,동대입구역,0,WIFI 에어컨 세탁기 냉장고 wifi 정수기 전자렌지 밥솥 가스렌지 식탁 빨래건조대 책상 의자 수납함 침대 옷장,https://www.woozoo.kr/houses/171,https://dgdr.co.kr/upload/jijum/238342658_Gf6XysaH_20210923034736.jpg,동대입구,장충동2가
54,54,65d83e31586d871d4e26c50b,276호점,Room A,2,0,0.0,0,462000,동대입구역,0,WIFI 에어컨 세탁기 냉장고 가스렌지 식탁 LED스탠드 수납함 침대 옷장,https://www.woozoo.kr/houses/276,https://dgdr.co.kr/upload/jijum/238342658_Gf6XysaH_20210923034736.jpg,동대입구,장충동2가
55,55,65d83e33586d871d4e26c50c,276호점,Room B,2,0,0.0,0,462000,동대입구역,0,WIFI 에어컨 세탁기 냉장고 가스렌지 식탁 LED스탠드 수납함 침대 옷장,https://www.woozoo.kr/houses/276,https://dgdr.co.kr/upload/jijum/238342658_Gf6XysaH_20210923034736.jpg,동대입구,장충동2가
56,56,65d83e3f586d871d4e26c50d,271호점,B,2,0,0.0,0,682000,신사역,0,WIFI 에어컨 세탁기 냉장고 가스렌지 식탁 의자 수납함 침대 옷장,https://www.woozoo.kr/houses/271,https://dgdr.co.kr/upload/jijum/238342658_Gf6XysaH_20210923034736.jpg,신사,신사동
57,57,65d83e41586d871d4e26c50e,271호점,C,2,0,0.0,0,660000,신사역,0,WIFI 에어컨 세탁기 냉장고 가스렌지 식탁 의자 수납함 침대 옷장,https://www.woozoo.kr/houses/271,https://dgdr.co.kr/upload/jijum/238342658_Gf6XysaH_20210923034736.jpg,신사,신사동
58,58,65d83e43586d871d4e26c50f,271호점,E2,2,0,0.0,0,638000,신사역,0,WIFI 에어컨 세탁기 냉장고 가스렌지 식탁 의자 수납함 침대 옷장,https://www.woozoo.kr/houses/271,https://dgdr.co.kr/upload/jijum/238342658_Gf6XysaH_20210923034736.jpg,신사,신사동
